Class,accident_type,evidence,uplift,s2_2_importance,CRI_Score,matched_details
A,Derailment,"{'Accident Month': '7', 'Equipment Type': 'Freight Train'}",0.1562066789298571,0.006825248000000001,0.37528574868812176,Accident Month(Score:0.0013); Equipment Type=Freight Train(Score:0.0123)
A,Derailment,"{'Accident Month': '6', 'Equipment Type': 'Freight Train'}",0.1562066789298571,0.006825248000000001,0.37528574868812176,Accident Month(Score:0.0013); Equipment Type=Freight Train(Score:0.0123)
A,Derailment,"{'Accident Month': '4', 'Equipment Type': 'Freight Train'}",0.1562066789298571,0.006825248000000001,0.37528574868812176,Accident Month(Score:0.0013); Equipment Type=Freight Train(Score:0.0123)
A,Derailment,"{'Accident Month': '5', 'Equipment Type': 'Freight Train'}",0.1562066789298571,0.006825248000000001,0.37528574868812176,Accident Month(Score:0.0013); Equipment Type=Freight Train(Score:0.0123)
A,Derailment,"{'Accident Month': '1', 'Equipment Type': 'Freight Train'}",0.1562066789298571,0.006825248000000001,0.37528574868812176,Accident Month(Score:0.0013); Equipment Type=Freight Train(Score:0.0123)
A,Derailment,"{'Accident Month': '10', 'Equipment Type': 'Freight Train'}",0.1562066789298571,0.006825248000000001,0.37528574868812176,Accident Month(Score:0.0013); Equipment Type=Freight Train(Score:0.0123)
A,Derailment,"{'Accident Month': '11', 'Equipment Type': 'Freight Train'}",0.1562066789298571,0.006825248000000001,0.37528574868812176,Accident Month(Score:0.0013); Equipment Type=Freight Train(Score:0.0123)
A,Derailment,"{'Accident Month': '12', 'Equipment Type': 'Freight Train'}",0.1562066789298571,0.006825248000000001,0.37528574868812176,Accident Month(Score:0.0013); Equipment Type=Freight Train(Score:0.0123)
A,Derailment,"{'Weather Condition': 'Clear', 'Equipment Type': 'Freight Train'}",0.1562066789298571,0.00673371175,0.37230905474362347,Weather Condition=Clear(Score:0.0012); Equipment Type=Freight Train(Score:0.0123)
A,Derailment,"{'Train Direction': 'East', 'Equipment Type': 'Freight Train'}",0.1562066789298571,0.0066742952,0.3703768706680471,Train Direction=East(Score:0.0010); Equipment Type=Freight Train(Score:0.0123)
A,Derailment,"{'Track Class': '3', 'Equipment Type': 'Freight Train'}",0.1562066789298571,0.00665422275,0.36972412882679573,Track Class=3(Score:0.0010); Equipment Type=Freight Train(Score:0.0123)
A,Derailment,"{'Track Class': '2', 'Equipment Type': 'Freight Train'}",0.1562066789298571,0.0065721411000000006,0.3670548917703353,Track Class=2(Score:0.0008); Equipment Type=Freight Train(Score:0.0123)
A,Derailment,"{'Weather Condition': 'Cloudy', 'Equipment Type': 'Freight Train'}",0.1562066789298571,0.006445934015,0.3629507268556454,Weather Condition=Cloudy(Score:0.0006); Equipment Type=Freight Train(Score:0.0123)
A,Derailment,"{'Visibility': 'Dawn', 'Equipment Type': 'Freight Train'}",0.1562066789298571,0.0062809768,0.3575864351898649,Visibility=Dawn(Score:0.0002); Equipment Type=Freight Train(Score:0.0123)
A,Raking collision,"{'Track Type': 'Yard', 'Equipment Type': 'Cut of cars'}",0.0433754936982412,0.009759769849999999,0.35688004191397427,Track Type=Yard(Score:0.0184); Equipment Type=Cut of cars(Score:0.0011)
A,Other impacts,"{'Track Class': '1', 'Equipment Type': 'Single Car'}",0.2296618809451954,0.00388044685,0.35363113649898475,Track Class=1(Score:0.0048); Equipment Type=Single Car(Score:0.0030)
A,Derailment,"{'Weather Condition': 'Rain', 'Equipment Type': 'Freight Train'}",0.1562066789298571,0.0061570755,0.35355725276841476,Weather Condition=Rain(Score:0.0000); Equipment Type=Freight Train(Score:0.0123)
